id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
194,1-0156,G10156,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
195,1-0157,G10157,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
196,1-0158-A,G10158A,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-17,2024-04-22
197,1-0158-B,G10158B,H:\Gold-Models\,H:\Gold-Models\, , production,15/07/2020, ,Not Available,2021-04-17,2024-04-22
198,1-0158,G10158,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-08,2024-04-22
199,1-0159,G10159,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2021-04-17,2024-04-22
200,1-0160,G10160,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
201,1-0161,G10161,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
202,1-0162,G10162,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
203,1-0163,G10163,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
204,1-0164,G10164,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
205,1-0165,G10165,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
206,1-0166,G10166,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-17,2024-04-22
207,1-0167,G10167,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
208,1-0168,G10168,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-10,2024-04-22
209,1-0169,G10169,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
210,1-0170,G10170,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-10,2024-04-22
211,1-0171,G10171,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
212,1-0172,G10172,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
213,1-0173,G10173,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
214,1-0174,G10174,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
215,1-0175,G10175,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
216,1-0176,G10176,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
217,1-0177,G10177,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
218,1-0178,G10178,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
219,1-0179,G10179,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
220,1-0180,G10180,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
221,1-0181,G10181,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
222,1-0182,G10182,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
223,1-0183,G10183,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-10,2024-04-22
224,1-0184,G10184,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-18,2024-04-22
225,1-0185,G10185,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
226,1-0186-A,G10186A,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-17,2024-04-22
227,1-0186-B,G10186B,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2021-04-17,2024-04-22
228,1-0186,G10186,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-08,2024-04-22
229,1-0187-A,G10187A,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-17,2024-04-22
