id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
8876,7-1009,G71009,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,06/12/2023,22/04/2024
8877,7-1010,G71010,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,14/05/2019,22/04/2024
8878,7-1011,G71011,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,14/05/2019,22/04/2024
8879,7-1012,G71012,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,24/05/2023,22/04/2024
8880,7-1013-A,G71013A,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,1/4 Pound,Not Available,08/05/2023,22/04/2024
8881,7-1013-B,G71013B,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,08/05/2023,22/04/2024
8882,7-1013,G71013,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,08/05/2023,22/04/2024
8883,7-1014,G71014,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,14/04/2021,22/04/2024
8884,7-1015,G71015,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,24/05/2023,22/04/2024
8885,7-1016,G71016,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,PRL,Not Available,26/05/2023,22/04/2024
8886,7-1017,G71017,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/02/2019,22/04/2024
8887,7-1018,G71018,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,25/05/2023,22/04/2024
8888,7-1019,G71019,H:\Gold-Models\,H:\Gold-Models\,**, production,28/09/2020,Semi,0.12,24/05/2023,22/04/2024
8889,7-1020,G71020,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Semi,0.08,23/05/2023,22/04/2024
8890,7-1021,G71021,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,01/05/2019,22/04/2024
8891,7-1022,G71022,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,01/05/2019,22/04/2024
8892,7-1023,G71023,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.18,26/05/2023,22/04/2024
8893,7-1024,G71024,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,01/05/2019,22/04/2024
8894,7-1025,G71025,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,23/05/2023,22/04/2024
8895,7-1026,G71026,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,23/05/2023,22/04/2024
8896,7-1027,G71027,H:\Gold-Models\,H:\Gold-Models\,***, production,23/07/2020, ,Not Available,24/05/2023,22/04/2024
8897,7-1028,G71028,H:\Gold-Models\,H:\Gold-Models\,***, production,18/07/2020, ,Not Available,26/05/2023,22/04/2024
8898,7-1029,G71029,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Faroz,0.25,24/05/2023,22/04/2024
8899,7-1030,G71030,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Malachite,0.20,23/05/2023,22/04/2024
8900,7-1031,G71031,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,23/05/2023,22/04/2024
8901,7-1032,G71032,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,16/05/2019,22/04/2024
8902,7-1033,G71033,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,28/05/2019,22/04/2024
8903,7-1034,G71034,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,24/05/2023,22/04/2024
8904,7-1035,G71035,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,24/05/2023,22/04/2024
8905,7-1036,G71036,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,28/05/2019,22/04/2024
8906,7-1037,G71037,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,14/06/2019,22/04/2024
